,ticker,figi,type,name
165,ELS,BBG000BB7SX7,shares,Equity LifeStyle Properties REIT
166,WTFC,BBG000HD3DW5,shares,Wintrust Financial
167,PLXS,BBG000BRBX66,shares,Plexus Corp
168,APPF,BBG008GC8CP6,shares,Appfolio Inc
169,BLDP,BBG000BNJRZ8,shares,Ballard Power Systems
170,TT,BBG000BM6788,shares,Trane Technologies
171,ILMN,BBG000DSMS70,shares,Illumina
172,NXST,BBG000DZJVH0,shares,Nexstar Media Group Inc
173,ARRY,BBG001V4SF46,shares,Array Technologies
174,PSA,BBG000BPPN67,shares,Public Storage REIT
175,COLD,BBG000QF05R6,shares,Americold Realty Trust REIT
176,FBIN,BBG001B4BV87,shares,Fortune Brands Innovations
177,UPS,BBG000L9CV04,shares,United Parcel Service
178,MBUU,BBG005PXTR70,shares,Malibu Boats Inc
179,ARI,BBG000NFPF36,shares,Apollo Commercial Real Estate
180,ZBH,BBG000BKPL53,shares,Zimmer Biomet Holdings
181,XP,BBG00QVJYGM9,shares,XP Inc
182,BDC,BBG000Q4XNV1,shares,Belden Inc
183,HSKA,BBG000BWFH48,shares,Heska Corp
184,PPL,BBG000BRJL00,shares,PPL
185,CABO,BBG000F02T51,shares,Cable One
186,FDX,BBG000BJF1Z8,shares,FedEx
187,VRNS,BBG001Y04TN6,shares,Varonis Systems Inc
188,VKCO,TCS00A106YF0,shares,ВК
189,CRL,BBG000BG5BL8,shares,Charles River Laboratories Int
190,CIAN@US,TCS0418T1088,shares,Циан АДР
191,CNI,BBG000HS74G6,shares,Canadian National Railway Co
192,ZION,BBG000BX9WL1,shares,Zions Bancorporation
193,IVZ,BBG000BY2Y78,shares,Invesco
194,PARA,BBG000C496P7,shares,Paramount Global
195,DBX,BBG0018SLDN0,shares,Dropbox Inc
196,STEM,BBG00XP8NQN4,shares,Stem
197,TTLK,BBG000RJL816,shares,Таттелеком
198,DRI,BBG000BBNYF6,shares,Darden Restaurants
199,DD,BBG00BN961G4,shares,DuPont de Nemours Inc
200,CNP,BBG000FDBX90,shares,CenterPoint Energy
201,CNTL,BBG000BBV4M5,shares,Центральный Телеграф
202,SLAB,BBG000BB99S3,shares,Silicon Laboratories Inc
203,ANSS,BBG000GXZ4W7,shares,ANSYS
204,SDGR,BBG000T88BN2,shares,Schrodinger Inc
205,CROX,BBG000BLY663,shares,Crocs Inc
206,SJW,BBG000BT1ZY7,shares,SJW Group
207,ATEX,BBG0081NLHR0,shares,Anterix
208,QDEL,BBG017TGV7M2,shares,QuidelOrtho Corp
209,TDOC,BBG0019T5SG0,shares,Teladoc Health Inc
210,OSIS,BBG000BWPR54,shares,OSI Systems Inc
211,IBP,BBG005TJKDZ6,shares,Installed Building Products
212,SITE,BBG009T22D49,shares,SiteOne Landscape Supply Inc
213,IART,BBG000BZJQL8,shares,Integra LifeSciences Holdings
214,SIG,BBG000C4ZZ10,shares,Signet Jewelers
